"Notes","County","County Code","Year","Year Code","Cause of death","Cause of death Code",Deaths,Population,Crude Rate
,"Baldwin County, AL","01003","2010","2010","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",18,182265,Unreliable
,"Baldwin County, AL","01003","2011","2011","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",10,186717,Unreliable
,"Baldwin County, AL","01003","2011","2011","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,186717,Unreliable
,"Baldwin County, AL","01003","2012","2012","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",18,190790,Unreliable
,"Baldwin County, AL","01003","2014","2014","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",14,200111,Unreliable
,"Baldwin County, AL","01003","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",17,200111,Unreliable
,"Blount County, AL","01009","2012","2012","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,57826,Unreliable
,"Calhoun County, AL","01015","2010","2010","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",18,118572,Unreliable
,"Calhoun County, AL","01015","2011","2011","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,117797,Unreliable
,"Calhoun County, AL","01015","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",19,115916,Unreliable
,"Chilton County, AL","01021","2010","2010","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,43643,Unreliable
,"Cullman County, AL","01043","2012","2012","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,80440,Unreliable
,"Cullman County, AL","01043","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",15,80811,Unreliable
,"Cullman County, AL","01043","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",23,81289,28.3
,"DeKalb County, AL","01049","2012","2012","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,71080,Unreliable
,"DeKalb County, AL","01049","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",17,71013,Unreliable
,"Etowah County, AL","01055","2011","2011","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,104303,Unreliable
,"Etowah County, AL","01055","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",18,103931,Unreliable
,"Etowah County, AL","01055","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",13,103531,Unreliable
,"Houston County, AL","01069","2011","2011","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,102369,Unreliable
,"Houston County, AL","01069","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",13,103668,Unreliable
,"Houston County, AL","01069","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",11,104193,Unreliable
,"Jackson County, AL","01071","2012","2012","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",11,53019,Unreliable
,"Jefferson County, AL","01073","2010","2010","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",27,658466,4.1
,"Jefferson County, AL","01073","2010","2010","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",26,658466,3.9
,"Jefferson County, AL","01073","2011","2011","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",22,658931,3.3
,"Jefferson County, AL","01073","2011","2011","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",49,658931,7.4
,"Jefferson County, AL","01073","2012","2012","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",40,660009,6.1
,"Jefferson County, AL","01073","2012","2012","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",24,660009,3.6
,"Jefferson County, AL","01073","2013","2013","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",41,659479,6.2
,"Jefferson County, AL","01073","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",41,659479,6.2
,"Jefferson County, AL","01073","2014","2014","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",99,660793,15.0
,"Jefferson County, AL","01073","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",66,660793,10.0
,"Lauderdale County, AL","01077","2011","2011","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",11,92781,Unreliable
,"Limestone County, AL","01083","2010","2010","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,82782,Unreliable
,"Madison County, AL","01089","2010","2010","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",26,334811,7.8
,"Madison County, AL","01089","2011","2011","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",19,340111,Unreliable
,"Madison County, AL","01089","2012","2012","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",20,343080,5.8
,"Madison County, AL","01089","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",17,346892,Unreliable
,"Madison County, AL","01089","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",18,350299,Unreliable
,"Marshall County, AL","01095","2012","2012","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,94776,Unreliable
,"Marshall County, AL","01095","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",11,94760,Unreliable
