"Notes","County","County Code","Year","Year Code","Cause of death","Cause of death Code",Deaths,Population,Crude Rate
,"Marshall County, AL","01095","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",18,94636,Unreliable
,"Mobile County, AL","01097","2010","2010","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",16,412992,Unreliable
,"Mobile County, AL","01097","2010","2010","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",22,412992,5.3
,"Mobile County, AL","01097","2011","2011","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",16,412577,Unreliable
,"Mobile County, AL","01097","2011","2011","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",26,412577,6.3
,"Mobile County, AL","01097","2012","2012","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",38,413936,9.2
,"Mobile County, AL","01097","2013","2013","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",19,414079,Unreliable
,"Mobile County, AL","01097","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",37,414079,8.9
,"Mobile County, AL","01097","2014","2014","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",18,415123,Unreliable
,"Mobile County, AL","01097","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",36,415123,8.7
,"Montgomery County, AL","01101","2010","2010","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,229363,Unreliable
,"Montgomery County, AL","01101","2012","2012","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,230149,Unreliable
,"Montgomery County, AL","01101","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",16,226189,Unreliable
,"Morgan County, AL","01103","2010","2010","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,119490,Unreliable
,"Morgan County, AL","01103","2011","2011","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",13,119953,Unreliable
,"Morgan County, AL","01103","2012","2012","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",18,120395,Unreliable
,"Morgan County, AL","01103","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",17,119787,Unreliable
,"St. Clair County, AL","01115","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,86308,Unreliable
,"St. Clair County, AL","01115","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",17,86697,Unreliable
,"Shelby County, AL","01117","2010","2010","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,195085,Unreliable
,"Shelby County, AL","01117","2011","2011","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",16,197936,Unreliable
,"Shelby County, AL","01117","2012","2012","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",10,200941,Unreliable
,"Shelby County, AL","01117","2012","2012","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",22,200941,10.9
,"Shelby County, AL","01117","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",24,204180,11.8
,"Shelby County, AL","01117","2014","2014","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",13,206655,Unreliable
,"Shelby County, AL","01117","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",23,206655,11.1
,"Talladega County, AL","01121","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",11,81096,Unreliable
,"Tuscaloosa County, AL","01125","2010","2010","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",18,194656,Unreliable
,"Tuscaloosa County, AL","01125","2011","2011","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",18,197211,Unreliable
,"Tuscaloosa County, AL","01125","2012","2012","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",20,198596,10.1
,"Tuscaloosa County, AL","01125","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",27,200821,13.4
,"Tuscaloosa County, AL","01125","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",20,202212,9.9
,"Walker County, AL","01127","2010","2010","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",20,67023,29.8
,"Walker County, AL","01127","2011","2011","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",26,66661,39.0
,"Walker County, AL","01127","2012","2012","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",10,66221,Unreliable
,"Walker County, AL","01127","2012","2012","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",13,66221,Unreliable
,"Walker County, AL","01127","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",21,65998,31.8
,"Walker County, AL","01127","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",13,65471,Unreliable
,"Apache County, AZ","04001","2010","2010","Accidental poisoning by and exposure to alcohol","X45",17,71518,Unreliable
,"Apache County, AZ","04001","2011","2011","Accidental poisoning by and exposure to alcohol","X45",14,72401,Unreliable
,"Apache County, AZ","04001","2012","2012","Accidental poisoning by and exposure to alcohol","X45",15,73195,Unreliable
,"Apache County, AZ","04001","2014","2014","Accidental poisoning by and exposure to alcohol","X45",13,71828,Unreliable
,"Cochise County, AZ","04003","2010","2010","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,131346,Unreliable
,"Coconino County, AZ","04005","2011","2011","Accidental poisoning by and exposure to alcohol","X45",10,134511,Unreliable
,"Coconino County, AZ","04005","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",17,136539,Unreliable
,"Coconino County, AZ","04005","2013","2013","Accidental poisoning by and exposure to alcohol","X45",16,136539,Unreliable
,"Coconino County, AZ","04005","2014","2014","Accidental poisoning by and exposure to alcohol","X45",12,137682,Unreliable
,"Maricopa County, AZ","04013","2010","2010","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",43,3817117,1.1
,"Maricopa County, AZ","04013","2010","2010","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",153,3817117,4.0
,"Maricopa County, AZ","04013","2010","2010","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",271,3817117,7.1
,"Maricopa County, AZ","04013","2010","2010","Accidental poisoning by and exposure to alcohol","X45",31,3817117,0.8
,"Maricopa County, AZ","04013","2010","2010","Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X62",12,3817117,Unreliable
,"Maricopa County, AZ","04013","2010","2010","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",63,3817117,1.7
,"Maricopa County, AZ","04013","2010","2010","Intentional self-poisoning by and exposure to other gases and vapours","X67",15,3817117,Unreliable
,"Maricopa County, AZ","04013","2011","2011","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",47,3880244,1.2
,"Maricopa County, AZ","04013","2011","2011","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",162,3880244,4.2
,"Maricopa County, AZ","04013","2011","2011","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",261,3880244,6.7
,"Maricopa County, AZ","04013","2011","2011","Accidental poisoning by and exposure to alcohol","X45",31,3880244,0.8
,"Maricopa County, AZ","04013","2011","2011","Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X61",12,3880244,Unreliable
,"Maricopa County, AZ","04013","2011","2011","Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X62",11,3880244,Unreliable
,"Maricopa County, AZ","04013","2011","2011","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",77,3880244,2.0
,"Maricopa County, AZ","04013","2012","2012","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",58,3942169,1.5
,"Maricopa County, AZ","04013","2012","2012","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",111,3942169,2.8
,"Maricopa County, AZ","04013","2012","2012","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",285,3942169,7.2
,"Maricopa County, AZ","04013","2012","2012","Accidental poisoning by and exposure to alcohol","X45",26,3942169,0.7
,"Maricopa County, AZ","04013","2012","2012","Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X61",15,3942169,Unreliable
,"Maricopa County, AZ","04013","2012","2012","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",61,3942169,1.5
,"Maricopa County, AZ","04013","2012","2012","Intentional self-poisoning by and exposure to other gases and vapours","X67",17,3942169,Unreliable
,"Maricopa County, AZ","04013","2013","2013","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",77,4009412,1.9
,"Maricopa County, AZ","04013","2013","2013","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",140,4009412,3.5
,"Maricopa County, AZ","04013","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",304,4009412,7.6
,"Maricopa County, AZ","04013","2013","2013","Accidental poisoning by and exposure to alcohol","X45",31,4009412,0.8
,"Maricopa County, AZ","04013","2013","2013","Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X61",12,4009412,Unreliable
,"Maricopa County, AZ","04013","2013","2013","Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X62",12,4009412,Unreliable
,"Maricopa County, AZ","04013","2013","2013","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",63,4009412,1.6
,"Maricopa County, AZ","04013","2013","2013","Intentional self-poisoning by and exposure to other gases and vapours","X67",12,4009412,Unreliable
,"Maricopa County, AZ","04013","2014","2014","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",88,4087191,2.2
,"Maricopa County, AZ","04013","2014","2014","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",149,4087191,3.6
,"Maricopa County, AZ","04013","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",299,4087191,7.3
,"Maricopa County, AZ","04013","2014","2014","Accidental poisoning by and exposure to alcohol","X45",30,4087191,0.7
,"Maricopa County, AZ","04013","2014","2014","Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X62",10,4087191,Unreliable
,"Maricopa County, AZ","04013","2014","2014","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",72,4087191,1.8
,"Maricopa County, AZ","04013","2014","2014","Intentional self-poisoning by and exposure to other gases and vapours","X67",18,4087191,Unreliable
,"Mohave County, AZ","04015","2010","2010","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",24,200186,12.0
,"Mohave County, AZ","04015","2010","2010","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",19,200186,Unreliable
,"Mohave County, AZ","04015","2011","2011","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",16,202351,Unreliable
,"Mohave County, AZ","04015","2011","2011","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",15,202351,Unreliable
,"Mohave County, AZ","04015","2011","2011","Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X62",11,202351,Unreliable
,"Mohave County, AZ","04015","2012","2012","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",10,203334,Unreliable
,"Mohave County, AZ","04015","2012","2012","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",25,203334,12.3
,"Mohave County, AZ","04015","2012","2012","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",19,203334,Unreliable
,"Mohave County, AZ","04015","2013","2013","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",20,203030,9.9
,"Mohave County, AZ","04015","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",21,203030,10.3
,"Mohave County, AZ","04015","2014","2014","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",17,203361,Unreliable
,"Mohave County, AZ","04015","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",23,203361,11.3
,"Navajo County, AZ","04017","2011","2011","Accidental poisoning by and exposure to alcohol","X45",21,107398,19.6
,"Navajo County, AZ","04017","2012","2012","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",11,107094,Unreliable
,"Navajo County, AZ","04017","2012","2012","Accidental poisoning by and exposure to alcohol","X45",18,107094,Unreliable
,"Navajo County, AZ","04017","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,107322,Unreliable
,"Navajo County, AZ","04017","2013","2013","Accidental poisoning by and exposure to alcohol","X45",29,107322,27.0
,"Navajo County, AZ","04017","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",11,108101,Unreliable
,"Navajo County, AZ","04017","2014","2014","Accidental poisoning by and exposure to alcohol","X45",14,108101,Unreliable
,"Pima County, AZ","04019","2010","2010","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",11,980263,Unreliable
,"Pima County, AZ","04019","2010","2010","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",87,980263,8.9
,"Pima County, AZ","04019","2010","2010","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",64,980263,6.5
,"Pima County, AZ","04019","2010","2010","Accidental poisoning by and exposure to alcohol","X45",12,980263,Unreliable
,"Pima County, AZ","04019","2010","2010","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",13,980263,Unreliable
,"Pima County, AZ","04019","2011","2011","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",19,989569,Unreliable
,"Pima County, AZ","04019","2011","2011","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",79,989569,8.0
,"Pima County, AZ","04019","2011","2011","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",58,989569,5.9
,"Pima County, AZ","04019","2011","2011","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",17,989569,Unreliable
,"Pima County, AZ","04019","2012","2012","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",16,992394,Unreliable
,"Pima County, AZ","04019","2012","2012","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",80,992394,8.1
,"Pima County, AZ","04019","2012","2012","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",67,992394,6.8
,"Pima County, AZ","04019","2012","2012","Accidental poisoning by and exposure to alcohol","X45",13,992394,Unreliable
,"Pima County, AZ","04019","2012","2012","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",19,992394,Unreliable
,"Pima County, AZ","04019","2013","2013","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",25,996554,2.5
,"Pima County, AZ","04019","2013","2013","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",86,996554,8.6
,"Pima County, AZ","04019","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",76,996554,7.6
,"Pima County, AZ","04019","2013","2013","Accidental poisoning by and exposure to alcohol","X45",12,996554,Unreliable
,"Pima County, AZ","04019","2013","2013","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",10,996554,Unreliable
,"Pima County, AZ","04019","2014","2014","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",18,1004516,Unreliable
,"Pima County, AZ","04019","2014","2014","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",104,1004516,10.4
,"Pima County, AZ","04019","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",56,1004516,5.6
,"Pima County, AZ","04019","2014","2014","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",18,1004516,Unreliable
,"Pinal County, AZ","04021","2010","2010","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",21,375770,5.6
,"Pinal County, AZ","04021","2011","2011","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",14,382992,Unreliable
,"Pinal County, AZ","04021","2011","2011","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,382992,Unreliable
,"Pinal County, AZ","04021","2012","2012","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",17,387365,Unreliable
,"Pinal County, AZ","04021","2012","2012","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",17,387365,Unreliable
,"Pinal County, AZ","04021","2013","2013","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",11,389350,Unreliable
,"Pinal County, AZ","04021","2013","2013","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",12,389350,Unreliable
,"Pinal County, AZ","04021","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",18,389350,Unreliable
,"Pinal County, AZ","04021","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",11,401918,Unreliable
,"Yavapai County, AZ","04025","2010","2010","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",18,211033,Unreliable
,"Yavapai County, AZ","04025","2010","2010","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",13,211033,Unreliable
,"Yavapai County, AZ","04025","2011","2011","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",20,211888,9.4
,"Yavapai County, AZ","04025","2011","2011","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",21,211888,9.9
,"Yavapai County, AZ","04025","2012","2012","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",14,212637,Unreliable
,"Yavapai County, AZ","04025","2012","2012","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",23,212637,10.8
,"Yavapai County, AZ","04025","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",31,215133,14.4
,"Yavapai County, AZ","04025","2013","2013","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",11,215133,Unreliable
,"Yavapai County, AZ","04025","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",26,218844,11.9
,"Yuma County, AZ","04027","2010","2010","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",18,195751,Unreliable
,"Yuma County, AZ","04027","2011","2011","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",18,200870,Unreliable
,"Yuma County, AZ","04027","2012","2012","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",30,200022,15.0
,"Yuma County, AZ","04027","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",19,201201,Unreliable
,"Yuma County, AZ","04027","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",33,203247,16.2
,"Benton County, AR","05007","2010","2010","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,221339,Unreliable
,"Benton County, AR","05007","2011","2011","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",14,227556,Unreliable
,"Benton County, AR","05007","2012","2012","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",14,232268,Unreliable
,"Benton County, AR","05007","2013","2013","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,237297,Unreliable
,"Benton County, AR","05007","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",11,242321,Unreliable
,"Crawford County, AR","05033","2011","2011","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,61944,Unreliable
,"Garland County, AR","05051","2014","2014","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",11,97322,Unreliable
