"FIPS","State","County","Year","population"
"AL003","alabama","baldwin","2005",160354
"AL015","alabama","calhoun","2005",109762
"AL043","alabama","cullman","2005",78888
"AL049","alabama","dekalb","2005",66407
"AL051","alabama","elmore","2005",68057
"AL055","alabama","etowah","2005",101151
"AL069","alabama","houston","2005",93101
"AL073","alabama","jefferson","2005",641690
"AL077","alabama","lauderdale","2005",85898
"AL081","alabama","lee","2005",118664
"AL083","alabama","limestone","2005",67771
"AL089","alabama","madison","2005",290875
"AL095","alabama","marshall","2005",84662
"AL097","alabama","mobile","2005",393585
"AL101","alabama","montgomery","2005",209374
"AL103","alabama","morgan","2005",112005
"AL115","alabama","st clair","2005",72100
"AL117","alabama","shelby","2005",169822
"AL121","alabama","talladega","2005",76962
"AL125","alabama","tuscaloosa","2005",160947
"AL127","alabama","walker","2005",69096
"AK020","alaska","anchorage municipality","2005",266281
"AK090","alaska","fairbanks north star","2005",83656
"AK170","alaska","matanuskasusitna","2005",75001
"AZ001","arizona","apache","2005",68070
"AZ003","arizona","cochise","2005",120439
"AZ005","arizona","coconino","2005",120776
"AZ013","arizona","maricopa","2005",3590804
"AZ015","arizona","mohave","2005",185969
"AZ017","arizona","navajo","2005",106192
"AZ019","arizona","pima","2005",902720
"AZ021","arizona","pinal","2005",214319
"AZ025","arizona","yavapai","2005",194928
"AZ027","arizona","yuma","2005",175793
"AR007","arkansas","benton","2005",184692
"AR031","arkansas","craighead","2005",84288
"AR045","arkansas","faulkner","2005",91784
"AR051","arkansas","garland","2005",91690
"AR069","arkansas","jefferson","2005",76258
"AR119","arkansas","pulaski","2005",358234
"AR125","arkansas","saline","2005",89380
"AR131","arkansas","sebastian","2005",116426
"AR143","arkansas","washington","2005",173713
"AR145","arkansas","white","2005",67705
"CA001","california","alameda","2005",1421308
"CA007","california","butte","2005",207937
"CA013","california","contra costa","2005",1006486
"CA017","california","el dorado","2005",175790
"CA019","california","fresno","2005",858948
"CA023","california","humboldt","2005",124031
"CA025","california","imperial","2005",144523
"CA029","california","kern","2005",724206
"CA031","california","kings","2005",121418
"CA033","california","lake","2005",63962
"CA037","california","los angeles","2005",9758886
"CA039","california","madera","2005",134159
"CA041","california","marin","2005",235609
"CA045","california","mendocino","2005",86011
"CA047","california","merced","2005",237278
"CA053","california","monterey","2005",389004
"CA055","california","napa","2005",127445
"CA057","california","nevada","2005",97572
"CA059","california","orange","2005",2944537
"CA061","california","placer","2005",314135
"CA065","california","riverside","2005",1911281
"CA067","california","sacramento","2005",1337942
"CA071","california","san bernardino","2005",1916665
"CA073","california","san diego","2005",2824259
"CA075","california","san francisco","2005",719077
"CA077","california","san joaquin","2005",646259
"CA079","california","san luis obispo","2005",239638
"CA081","california","san mateo","2005",689271
"CA083","california","santa barbara","2005",383393
"CA085","california","santa clara","2005",1669890
"CA087","california","santa cruz","2005",240367
"CA089","california","shasta","2005",176570
"CA095","california","solano","2005",395426
"CA097","california","sonoma","2005",453850
"CA099","california","stanislaus","2005",497804
"CA101","california","sutter","2005",87444
"CA107","california","tulare","2005",404909
"CA111","california","ventura","2005",782759
"CA113","california","yolo","2005",176609
"CA115","california","yuba","2005",65818
"CO001","colorado","adams","2005",396032
"CO005","colorado","arapahoe","2005",524207
"CO013","colorado","boulder","2005",271934
"CO031","colorado","denver","2005",545198
"CO035","colorado","douglas","2005",248950
"CO041","colorado","el paso","2005",550130
"CO059","colorado","jefferson","2005",519071
"CO069","colorado","larimer","2005",264807
"CO077","colorado","mesa","2005",126588
"CO101","colorado","pueblo","2005",147187
"CO123","colorado","weld","2005",223966
"CT001","connecticut","fairfield","2005",884050
"CT003","connecticut","hartford","2005",850068
"CT005","connecticut","litchfield","2005",187426
"CT007","connecticut","middlesex","2005",156694
"CT009","connecticut","new haven","2005",817828
"CT011","connecticut","new london","2005",253468
"CT013","connecticut","tolland","2005",133557
"CT015","connecticut","windham","2005",111660
"DE001","delaware","kent","2005",140205
"DE003","delaware","new castle","2005",505271
"DE005","delaware","sussex","2005",173111
"DC001","district of columbia","district of columbia","2005",515118
"FL001","florida","alachua","2005",210323
"FL005","florida","bay","2005",158141
"FL009","florida","brevard","2005",521226
"FL011","florida","broward","2005",1757590
"FL015","florida","charlotte","2005",154716
"FL017","florida","citrus","2005",132209
"FL019","florida","clay","2005",169528
"FL021","florida","collier","2005",302514
"FL031","florida","duval","2005",810698
"FL033","florida","escambia","2005",274663
"FL035","florida","flagler","2005",75757
"FL053","florida","hernando","2005",156325
"FL055","florida","highlands","2005",94177
"FL057","florida","hillsborough","2005",1111717
"FL061","florida","indian river","2005",126258
"FL069","florida","lake","2005",273277
"FL071","florida","lee","2005",539097
"FL073","florida","leon","2005",233649
"FL081","florida","manatee","2005",300828
"FL083","florida","marion","2005",295555
"FL085","florida","martin","2005",136138
"FL086","florida","miamidade","2005",2329187
"FL087","florida","monroe","2005",75074
"FL091","florida","okaloosa","2005",177284
"FL095","florida","orange","2005",1002849
"FL097","florida","osceola","2005",229134
"FL099","florida","palm beach","2005",1247908
"FL101","florida","pasco","2005",423356
"FL103","florida","pinellas","2005",905158
"FL105","florida","polk","2005",530126
"FL107","florida","putnam","2005",72148
"FL109","florida","st johns","2005",159235
"FL111","florida","st lucie","2005",238575
"FL113","florida","santa rosa","2005",140650
"FL115","florida","sarasota","2005",359783
"FL117","florida","seminole","2005",398013
"FL127","florida","volusia","2005",475189
"GA015","georgia","bartow","2005",88189
"GA021","georgia","bibb","2005",149248
"GA045","georgia","carroll","2005",101762
"GA051","georgia","chatham","2005",227915
"GA057","georgia","cherokee","2005",182816
"GA059","georgia","clarke","2005",95217
"GA063","georgia","clayton","2005",264231
"GA067","georgia","cobb","2005",653715
"GA073","georgia","columbia","2005",103069
"GA077","georgia","coweta","2005",109108
"GA089","georgia","dekalb","2005",662973
"GA095","georgia","dougherty","2005",90508
"GA097","georgia","douglas","2005",111765
"GA113","georgia","fayette","2005",103643
"GA115","georgia","floyd","2005",90124
"GA117","georgia","forsyth","2005",139501
"GA121","georgia","fulton","2005",884079
"GA127","georgia","glynn","2005",70373
"GA135","georgia","gwinnett","2005",719398
"GA139","georgia","hall","2005",163204
"GA151","georgia","henry","2005",166871
"GA153","georgia","houston","2005",123176
"GA185","georgia","lowndes","2005",89724
"GA215","georgia","muscogee","2005",175930
"GA217","georgia","newton","2005",85474
"GA223","georgia","paulding","2005",111654
"GA245","georgia","richmond","2005",185150
"GA247","georgia","rockdale","2005",77375
"GA297","georgia","walton","2005",74866
"GA313","georgia","whitfield","2005",89734
"HI001","hawaii","hawaii","2005",164437
"HI003","hawaii","honolulu","2005",873177
"HI009","hawaii","maui","2005",138433
"ID001","idaho","ada","2005",336193
"ID005","idaho","bannock","2005",75817
"ID019","idaho","bonneville","2005",90711
"ID027","idaho","canyon","2005",161761
"ID055","idaho","kootenai","2005",126079
"ID083","idaho","twin falls","2005",71334
"IL001","illinois","adams","2005",64273
"IL019","illinois","champaign","2005",168902
"IL031","illinois","cook","2005",5206357
"IL037","illinois","dekalb","2005",89223
"IL043","illinois","dupage","2005",913781
"IL089","illinois","kane","2005",475683
"IL091","illinois","kankakee","2005",103593
"IL093","illinois","kendall","2005",79322
"IL097","illinois","lake","2005",684726
"IL099","illinois","lasalle","2005",109658
"IL111","illinois","mchenry","2005",302471
"IL113","illinois","mclean","2005",146894
"IL115","illinois","macon","2005",106433
"IL119","illinois","madison","2005",258567
"IL143","illinois","peoria","2005",175166
"IL161","illinois","rock island","2005",143140
"IL163","illinois","st clair","2005",255072
"IL167","illinois","sangamon","2005",189438
"IL179","illinois","tazewell","2005",126797
"IL183","illinois","vermilion","2005",79235
"IL197","illinois","will","2005",634183
"IL201","illinois","winnebago","2005",283565
"IN003","indiana","allen","2005",338279
"IN005","indiana","bartholomew","2005",72650
"IN019","indiana","clark","2005",100014
"IN035","indiana","delaware","2005",108356
"IN039","indiana","elkhart","2005",192562
"IN043","indiana","floyd","2005",70932
"IN053","indiana","grant","2005",65632
"IN057","indiana","hamilton","2005",239043
"IN063","indiana","hendricks","2005",123931
"IN067","indiana","howard","2005",83865
"IN081","indiana","johnson","2005",124745
"IN085","indiana","kosciusko","2005",74665
"IN089","indiana","lake","2005",487663
"IN091","indiana","laporte","2005",104164
"IN095","indiana","madison","2005",125161
"IN097","indiana","marion","2005",844187
"IN105","indiana","monroe","2005",107671
"IN109","indiana","morgan","2005",69141
"IN127","indiana","porter","2005",154188
"IN141","indiana","st joseph","2005",252673
"IN157","indiana","tippecanoe","2005",139317
"IN163","indiana","vanderburgh","2005",165769
"IN167","indiana","vigo","2005",95094
"IN177","indiana","wayne","2005",66972
"IA013","iowa","black hawk","2005",120313
"IA061","iowa","dubuque","2005",86626
"IA103","iowa","johnson","2005",108919
"IA113","iowa","linn","2005",193749
"IA153","iowa","polk","2005",391914
"IA155","iowa","pottawattamie","2005",87999
"IA163","iowa","scott","2005",157749
"IA169","iowa","story","2005",70480
"IA193","iowa","woodbury","2005",99729
"KS045","kansas","douglas","2005",94200
"KS091","kansas","johnson","2005",501584
"KS103","kansas","leavenworth","2005",64791
"KS173","kansas","sedgwick","2005",459902
"KS177","kansas","shawnee","2005",167513
"KS209","kansas","wyandotte","2005",154158
"KY015","kentucky","boone","2005",105684
"KY029","kentucky","bullitt","2005",68243
"KY037","kentucky","campbell","2005",85210
"KY047","kentucky","christian","2005",64062
"KY059","kentucky","daviess","2005",90465
"KY067","kentucky","fayette","2005",255389
"KY093","kentucky","hardin","2005",93024
"KY111","kentucky","jefferson","2005",687032
"KY117","kentucky","kenton","2005",151799
"KY151","kentucky","madison","2005",72450
"KY195","kentucky","pike","2005",65976
"KY227","kentucky","warren","2005",93401
"LA005","louisiana","ascension","2005",89855
"LA015","louisiana","bossier","2005",103391
"LA017","louisiana","caddo","2005",244819
"LA019","louisiana","calcasieu","2005",180709
"LA033","louisiana","east baton rouge","2005",396735
"LA045","louisiana","iberia","2005",72773
"LA051","louisiana","jefferson","2005",448578
"LA055","louisiana","lafayette","2005",192448
"LA057","louisiana","lafourche","2005",90543
"LA063","louisiana","livingston","2005",108622
"LA071","louisiana","orleans","2005",437186
"LA073","louisiana","ouachita","2005",143857
"LA079","louisiana","rapides","2005",123090
"LA087","louisiana","st bernard","2005",64576
"LA097","louisiana","st landry","2005",88409
"LA103","louisiana","st tammany","2005",217999
"LA105","louisiana","tangipahoa","2005",103261
"LA109","louisiana","terrebonne","2005",106078
"ME001","maine","androscoggin","2005",104298
"ME003","maine","aroostook","2005",71046
"ME005","maine","cumberland","2005",264737
"ME011","maine","kennebec","2005",117620
"ME019","maine","penobscot","2005",140625
"ME031","maine","york","2005",198899
"MD001","maryland","allegany","2005",67114
"MD003","maryland","anne arundel","2005",494676
"MD005","maryland","baltimore","2005",767597
"MD009","maryland","calvert","2005",87303
"MD013","maryland","carroll","2005",164663
"MD015","maryland","cecil","2005",96309
"MD017","maryland","charles","2005",137341
"MD021","maryland","frederick","2005",215877
"MD025","maryland","harford","2005",237644
"MD027","maryland","howard","2005",265755
"MD031","maryland","montgomery","2005",918046
"MD033","maryland","prince georges","2005",828834
"MD037","maryland","st marys","2005",93301
"MD043","maryland","washington","2005",132574
"MD045","maryland","wicomico","2005",87334
"MD510","maryland","baltimore","2005",608481
"MA001","massachusetts","barnstable","2005",220838
"MA003","massachusetts","berkshire","2005",125654
"MA005","massachusetts","bristol","2005",533310
"MA009","massachusetts","essex","2005",721625
"MA011","massachusetts","franklin","2005",70928
"MA013","massachusetts","hampden","2005",447309
"MA015","massachusetts","hampshire","2005",135676
"MA017","massachusetts","middlesex","2005",1405511
"MA021","massachusetts","norfolk","2005",636632
"MA023","massachusetts","plymouth","2005",481100
"MA025","massachusetts","suffolk","2005",620053
"MA027","massachusetts","worcester","2005",759409
"MI005","michigan","allegan","2005",111257
"MI017","michigan","bay","2005",107256
"MI021","michigan","berrien","2005",158224
"MI025","michigan","calhoun","2005",134628
"MI037","michigan","clinton","2005",68524
"MI045","michigan","eaton","2005",105632
"MI049","michigan","genesee","2005",438589
"MI055","michigan","grand traverse","2005",81174
"MI065","michigan","ingham","2005",261476
"MI073","michigan","isabella","2005",58848
"MI075","michigan","jackson","2005",152954
"MI077","michigan","kalamazoo","2005",230457
"MI081","michigan","kent","2005",584007
"MI087","michigan","lapeer","2005",91256
"MI091","michigan","lenawee","2005",97102
"MI093","michigan","livingston","2005",179897
"MI099","michigan","macomb","2005",820599
"MI111","michigan","midland","2005",82695
"MI115","michigan","monroe","2005",152392
"MI121","michigan","muskegon","2005",169500
"MI125","michigan","oakland","2005",1200531
"MI139","michigan","ottawa","2005",245075
"MI145","michigan","saginaw","2005",202037
"MI147","michigan","st clair","2005",169749
"MI155","michigan","shiawassee","2005",72224
"MI159","michigan","van buren","2005",76896
"MI161","michigan","washtenaw","2005",319791
"MI163","michigan","wayne","2005",1966909
"MN003","minnesota","anoka","2005",320803
"MN019","minnesota","carver","2005",83783
"MN037","minnesota","dakota","2005",381267
"MN053","minnesota","hennepin","2005",1089910
"MN109","minnesota","olmsted","2005",132116
"MN123","minnesota","ramsey","2005",476715
"MN137","minnesota","st louis","2005",186225
"MN139","minnesota","scott","2005",118822
"MN141","minnesota","sherburne","2005",80003
"MN145","minnesota","stearns","2005",135253
"MN163","minnesota","washington","2005",217021
"MN171","minnesota","wright","2005",109836
"MS033","mississippi","desoto","2005",136353
"MS035","mississippi","forrest","2005",69608
"MS047","mississippi","harrison","2005",186530
"MS049","mississippi","hinds","2005",239901
"MS059","mississippi","jackson","2005",134249
"MS067","mississippi","jones","2005",66425
"MS075","mississippi","lauderdale","2005",73647
"MS081","mississippi","lee","2005",77438
"MS089","mississippi","madison","2005",82071
"MS121","mississippi","rankin","2005",126569
"MO019","missouri","boone","2005",134391
"MO021","missouri","buchanan","2005",80196
"MO031","missouri","cape girardeau","2005",67757
"MO037","missouri","cass","2005",93266
"MO043","missouri","christian","2005",66663
"MO047","missouri","clay","2005",199158
"MO051","missouri","cole","2005",67706
"MO071","missouri","franklin","2005",98086
"MO077","missouri","greene","2005",238898
"MO095","missouri","jackson","2005",651181
"MO097","missouri","jasper","2005",107992
"MO099","missouri","jefferson","2005",211639
"MO165","missouri","platte","2005",81241
"MO183","missouri","st charles","2005",326152
"MO189","missouri","st louis","2005",985393
"MO510","missouri","st louis","2005",333730
"MT013","montana","cascade","2005",77462
"MT029","montana","flathead","2005",82027
"MT031","montana","gallatin","2005",77543
"MT063","montana","missoula","2005",96467
"MT111","montana","yellowstone","2005",133762
"NE055","nebraska","douglas","2005",474913
"NE109","nebraska","lancaster","2005",252319
"NE153","nebraska","sarpy","2005",137891
"NV003","nevada","clark","2005",1691213
"NV031","nevada","washoe","2005",384462
"NH005","new hampshire","cheshire","2005",73019
"NH009","new hampshire","grafton","2005",77887
"NH011","new hampshire","hillsborough","2005",393207
"NH013","new hampshire","merrimack","2005",140311
"NH015","new hampshire","rockingham","2005",292410
"NH017","new hampshire","strafford","2005",113300
"NJ001","new jersey","atlantic","2005",264403
"NJ003","new jersey","bergen","2005",891237
"NJ005","new jersey","burlington","2005",436706
"NJ007","new jersey","camden","2005",507843
"NJ009","new jersey","cape may","2005",96630
"NJ011","new jersey","cumberland","2005",139968
"NJ013","new jersey","essex","2005",769628
"NJ015","new jersey","gloucester","2005",271709
"NJ017","new jersey","hudson","2005",594071
"NJ019","new jersey","hunterdon","2005",126116
"NJ021","new jersey","mercer","2005",345118
"NJ023","new jersey","middlesex","2005",768696
"NJ025","new jersey","monmouth","2005",625874
"NJ027","new jersey","morris","2005",481139
"NJ029","new jersey","ocean","2005",550447
"NJ031","new jersey","passaic","2005",487756
"NJ033","new jersey","salem","2005",65124
"NJ035","new jersey","somerset","2005",314960
"NJ037","new jersey","sussex","2005",151443
"NJ039","new jersey","union","2005",523649
"NJ041","new jersey","warren","2005",108910
"NM001","new mexico","bernalillo","2005",592570
"NM013","new mexico","dona ana","2005",184089
"NM031","new mexico","mckinley","2005",71059
"NM043","new mexico","sandoval","2005",106765
"NM045","new mexico","san juan","2005",124994
"NM049","new mexico","santa fe","2005",137758
"NM061","new mexico","valencia","2005",67135
"NY001","new york","albany","2005",280570
"NY005","new york","bronx","2005",1309640
"NY007","new york","broome","2005",186680
"NY009","new york","cattaraugus","2005",79201
"NY011","new york","cayuga","2005",77016
"NY013","new york","chautauqua","2005",129887
"NY015","new york","chemung","2005",84117
"NY019","new york","clinton","2005",75053
"NY027","new york","dutchess","2005",276889
"NY029","new york","erie","2005",898981
"NY045","new york","jefferson","2005",107710
"NY047","new york","kings","2005",2446016
"NY053","new york","madison","2005",65407
"NY055","new york","monroe","2005",704993
"NY059","new york","nassau","2005",1310076
"NY061","new york","new york","2005",1529774
"NY063","new york","niagara","2005",212573
"NY065","new york","oneida","2005",219249
"NY067","new york","onondaga","2005",444328
"NY069","new york","ontario","2005",101340
"NY071","new york","orange","2005",359089
"NY075","new york","oswego","2005",118560
"NY079","new york","putnam","2005",98303
"NY081","new york","queens","2005",2215339
"NY083","new york","rensselaer","2005",150163
"NY085","new york","richmond","2005",455344
"NY087","new york","rockland","2005",285088
"NY089","new york","st lawrence","2005",100042
"NY091","new york","saratoga","2005",210554
"NY093","new york","schenectady","2005",144344
"NY101","new york","steuben","2005",97041
"NY103","new york","suffolk","2005",1444642
"NY105","new york","sullivan","2005",71914
"NY109","new york","tompkins","2005",87080
"NY111","new york","ulster","2005",170938
"NY113","new york","warren","2005",64276
"NY117","new york","wayne","2005",91951
"NY119","new york","westchester","2005",915916
"NC001","north carolina","alamance","2005",136552
"NC019","north carolina","brunswick","2005",88396
"NC021","north carolina","buncombe","2005",211759
"NC023","north carolina","burke","2005",85727
"NC025","north carolina","cabarrus","2005",147939
"NC027","north carolina","caldwell","2005",77918
"NC035","north carolina","catawba","2005",149294
"NC045","north carolina","cleveland","2005",95778
"NC049","north carolina","craven","2005",86369
"NC051","north carolina","cumberland","2005",284231
"NC057","north carolina","davidson","2005",152670
"NC063","north carolina","durham","2005",232573
"NC067","north carolina","forsyth","2005",315856
"NC071","north carolina","gaston","2005",193162
"NC081","north carolina","guilford","2005",429603
"NC085","north carolina","harnett","2005",100634
"NC089","north carolina","henderson","2005",95381
"NC097","north carolina","iredell","2005",139249
"NC101","north carolina","johnston","2005",144621
"NC109","north carolina","lincoln","2005",68947
"NC119","north carolina","mecklenburg","2005",780618
"NC125","north carolina","moore","2005",79938
"NC127","north carolina","nash","2005",89157
"NC129","north carolina","new hanover","2005",174861
"NC133","north carolina","onslow","2005",125251
"NC135","north carolina","orange","2005",108104
"NC147","north carolina","pitt","2005",136271
"NC151","north carolina","randolph","2005",136953
"NC155","north carolina","robeson","2005",123921
"NC157","north carolina","rockingham","2005",91419
"NC159","north carolina","rowan","2005",130457
"NC171","north carolina","surry","2005",71330
"NC179","north carolina","union","2005",161127
"NC183","north carolina","wake","2005",730138
"NC191","north carolina","wayne","2005",109615
"NC193","north carolina","wilkes","2005",66492
"NC195","north carolina","wilson","2005",74480
"ND015","north dakota","burleigh","2005",71020
"ND017","north dakota","cass","2005",126098
"ND035","north dakota","grand forks","2005",59320
"OH003","ohio","allen","2005",101619
"OH007","ohio","ashtabula","2005",101082
"OH013","ohio","belmont","2005",65833
"OH017","ohio","butler","2005",339309
"OH023","ohio","clark","2005",139053
"OH025","ohio","clermont","2005",189124
"OH029","ohio","columbiana","2005",107164
"OH035","ohio","cuyahoga","2005",1305166
"OH041","ohio","delaware","2005",147601
"OH043","ohio","erie","2005",76797
"OH045","ohio","fairfield","2005",135828
"OH049","ohio","franklin","2005",1068080
"OH055","ohio","geauga","2005",94171
"OH057","ohio","greene","2005",143218
"OH061","ohio","hamilton","2005",786982
"OH063","ohio","hancock","2005",71503
"OH081","ohio","jefferson","2005",68436
"OH085","ohio","lake","2005",229566
"OH089","ohio","licking","2005",151499
"OH093","ohio","lorain","2005",287985
"OH095","ohio","lucas","2005",437901
"OH099","ohio","mahoning","2005",240774
"OH101","ohio","marion","2005",61031
"OH103","ohio","medina","2005",165491
"OH109","ohio","miami","2005",100220
"OH113","ohio","montgomery","2005",531864
"OH119","ohio","muskingum","2005",83110
"OH133","ohio","portage","2005",147502
"OH139","ohio","richland","2005",121365
"OH141","ohio","ross","2005",69435
"OH145","ohio","scioto","2005",73403
"OH151","ohio","stark","2005",371677
"OH153","ohio","summit","2005",536957
"OH155","ohio","trumbull","2005",215254
"OH157","ohio","tuscarawas","2005",90781
"OH165","ohio","warren","2005",190403
"OH169","ohio","wayne","2005",110327
"OH173","ohio","wood","2005",115904
"OK017","oklahoma","canadian","2005",96528
"OK027","oklahoma","cleveland","2005",215597
"OK031","oklahoma","comanche","2005",102887
"OK037","oklahoma","creek","2005",68033
"OK101","oklahoma","muskogee","2005",67312
"OK109","oklahoma","oklahoma","2005",666904
"OK119","oklahoma","payne","2005",60771
"OK125","oklahoma","pottawatomie","2005",65077
"OK131","oklahoma","rogers","2005",79904
"OK143","oklahoma","tulsa","2005",560431
"OR003","oregon","benton","2005",74075
"OR005","oregon","clackamas","2005",365723
"OR017","oregon","deschutes","2005",140161
"OR019","oregon","douglas","2005",102678
"OR029","oregon","jackson","2005",191465
"OR033","oregon","josephine","2005",79751
"OR035","oregon","klamath","2005",65178
"OR039","oregon","lane","2005",327762
"OR043","oregon","linn","2005",107920
"OR047","oregon","marion","2005",292984
"OR051","oregon","multnomah","2005",656146
"OR053","oregon","polk","2005",67873
"OR059","oregon","umatilla","2005",69526
"OR067","oregon","washington","2005",495597
"OR071","oregon","yamhill","2005",87211
"PA001","pennsylvania","adams","2005",95850
"PA003","pennsylvania","allegheny","2005",1195503
"PA005","pennsylvania","armstrong","2005",69501
"PA007","pennsylvania","beaver","2005",173086
"PA011","pennsylvania","berks","2005",382917
"PA013","pennsylvania","blair","2005",122717
"PA017","pennsylvania","bucks","2005",612210
"PA019","pennsylvania","butler","2005",175561
"PA021","pennsylvania","cambria","2005",138963
"PA027","pennsylvania","centre","2005",124263
"PA029","pennsylvania","chester","2005",458141
"PA033","pennsylvania","clearfield","2005",79001
"PA039","pennsylvania","crawford","2005",85445
"PA041","pennsylvania","cumberland","2005",208751
"PA043","pennsylvania","dauphin","2005",247379
"PA045","pennsylvania","delaware","2005",531609
"PA049","pennsylvania","erie","2005",266662
"PA051","pennsylvania","fayette","2005",141661
"PA055","pennsylvania","franklin","2005",134409
"PA063","pennsylvania","indiana","2005",83256
"PA069","pennsylvania","lackawanna","2005",201201
"PA071","pennsylvania","lancaster","2005",476155
"PA073","pennsylvania","lawrence","2005",89742
"PA075","pennsylvania","lebanon","2005",121054
"PA077","pennsylvania","lehigh","2005",319993
"PA079","pennsylvania","luzerne","2005",299279
"PA081","pennsylvania","lycoming","2005",112735
"PA085","pennsylvania","mercer","2005",112981
"PA089","pennsylvania","monroe","2005",159175
"PA091","pennsylvania","montgomery","2005",753046
"PA095","pennsylvania","northampton","2005",276878
"PA097","pennsylvania","northumberland","2005",88726
"PA101","pennsylvania","philadelphia","2005",1406415
"PA107","pennsylvania","schuylkill","2005",139811
"PA111","pennsylvania","somerset","2005",74617
"PA125","pennsylvania","washington","2005",200938
"PA129","pennsylvania","westmoreland","2005",358687
"PA133","pennsylvania","york","2005",400670
"RI003","rhode island","kent","2005",169719
"RI005","rhode island","newport","2005",80965
"RI007","rhode island","providence","2005",610539
"RI009","rhode island","washington","2005",123322
"SC003","south carolina","aiken","2005",148084
"SC007","south carolina","anderson","2005",172748
"SC013","south carolina","beaufort","2005",131695
"SC015","south carolina","berkeley","2005",146975
"SC019","south carolina","charleston","2005",317770
"SC031","south carolina","darlington","2005",66072
"SC035","south carolina","dorchester","2005",110552
"SC041","south carolina","florence","2005",127293
"SC045","south carolina","greenville","2005",396399
"SC047","south carolina","greenwood","2005",65436
"SC051","south carolina","horry","2005",224487
"SC059","south carolina","laurens","2005",67556
"SC063","south carolina","lexington","2005",232350
"SC073","south carolina","oconee","2005",68937
"SC075","south carolina","orangeburg","2005",86924
"SC077","south carolina","pickens","2005",106583
"SC079","south carolina","richland","2005",310345
"SC083","south carolina","spartanburg","2005",259224
"SC085","south carolina","sumter","2005",102146
"SC091","south carolina","york","2005",185731
"SD099","south dakota","minnehaha","2005",154396
"SD103","south dakota","pennington","2005",91040
"TN001","tennessee","anderson","2005",71553
"TN009","tennessee","blount","2005",113393
"TN011","tennessee","bradley","2005",90039
"TN037","tennessee","davidson","2005",549850
"TN059","tennessee","greene","2005",67268
"TN065","tennessee","hamilton","2005",302475
"TN093","tennessee","knox","2005",392382
"TN113","tennessee","madison","2005",91316
"TN119","tennessee","maury","2005",75054
"TN125","tennessee","montgomery","2005",142799
"TN141","tennessee","putnam","2005",63749
"TN149","tennessee","rutherford","2005",212434
"TN155","tennessee","sevier","2005",78645
"TN157","tennessee","shelby","2005",889955
"TN163","tennessee","sullivan","2005",150027
"TN165","tennessee","sumner","2005",143618
"TN179","tennessee","washington","2005",108537
"TN187","tennessee","williamson","2005",152604
"TN189","tennessee","wilson","2005",99204
"TX005","texas","angelina","2005",78839
"TX021","texas","bastrop","2005",61724
"TX027","texas","bell","2005",246592
"TX029","texas","bexar","2005",1482598
"TX037","texas","bowie","2005",83813
"TX039","texas","brazoria","2005",267376
"TX041","texas","brazos","2005",143502
"TX061","texas","cameron","2005",374081
"TX085","texas","collin","2005",655994
"TX091","texas","comal","2005",94794
"TX099","texas","coryell","2005",58930
"TX113","texas","dallas","2005",2267080
"TX121","texas","denton","2005",544511
"TX135","texas","ector","2005",123331
"TX139","texas","ellis","2005",131480
"TX141","texas","el paso","2005",708319
"TX157","texas","fort bend","2005",457225
"TX167","texas","galveston","2005",273162
"TX181","texas","grayson","2005",113899
"TX183","texas","gregg","2005",112357
"TX187","texas","guadalupe","2005",101236
"TX201","texas","harris","2005",3647656
"TX209","texas","hays","2005",115030
"TX213","texas","henderson","2005",78744
"TX215","texas","hidalgo","2005",671967
"TX231","texas","hunt","2005",80052
"TX245","texas","jefferson","2005",231311
"TX251","texas","johnson","2005",143757
"TX257","texas","kaufman","2005",87655
"TX291","texas","liberty","2005",70116
"TX303","texas","lubbock","2005",241947
"TX309","texas","mclennan","2005",214582
"TX329","texas","midland","2005",119720
"TX339","texas","montgomery","2005",376051
"TX355","texas","nueces","2005",313465
"TX361","texas","orange","2005",83996
"TX367","texas","parker","2005",99846
"TX375","texas","potter","2005",111882
"TX381","texas","randall","2005",108383
"TX409","texas","san patricio","2005",68077
"TX423","texas","smith","2005",185465
"TX439","texas","tarrant","2005",1595715
"TX441","texas","taylor","2005",118744
"TX451","texas","tom green","2005",99178
"TX453","texas","travis","2005",866349
"TX469","texas","victoria","2005",84044
"TX479","texas","webb","2005",221478
"TX485","texas","wichita","2005",114651
"TX491","texas","williamson","2005",328421
"UT005","utah","cache","2005",94697
"UT011","utah","davis","2005",264676
"UT035","utah","salt lake","2005",933416
"UT049","utah","utah","2005",434677
"UT053","utah","washington","2005",117385
"UT057","utah","weber","2005",207711
"VT007","vermont","chittenden","2005",142216
"VA003","virginia","albemarle","2005",84202
"VA013","virginia","arlington","2005",191852
"VA015","virginia","augusta","2005",68370
"VA019","virginia","bedford","2005",64764
"VA041","virginia","chesterfield","2005",284956
"VA059","virginia","fairfax","2005",998690
"VA069","virginia","frederick","2005",68200
"VA085","virginia","hanover","2005",95208
"VA087","virginia","henrico","2005",276644
"VA107","virginia","loudoun","2005",254612
"VA121","virginia","montgomery","2005",74962
"VA153","virginia","prince william","2005",346790
"VA161","virginia","roanoke","2005",85900
"VA165","virginia","rockingham","2005",69530
"VA177","virginia","spotsylvania","2005",115995
"VA179","virginia","stafford","2005",116424
"VA510","virginia","alexandria","2005",133479
"VA550","virginia","chesapeake","2005",214835
"VA650","virginia","hampton","2005",133584
